0,1,2,3,4,5,6,7,8,9,10,11,12,label
-611.11224,3.3611066,-10.569122,-2.6298795,-1.839885,-1.4418662,0.55768174,1.2280614,0.42046773,-0.28251526,-0.7300878,-0.574492,0.3204107,0
-178.57544,-23.35636,-43.29359,-12.315986,-50.7178,-31.017653,-18.992596,-27.68683,-29.71467,-10.842847,-30.588375,-8.348098,-20.360905,0
27.927452,48.424305,-4.915884,9.615715,-10.180056,17.211342,-3.9197438,15.421278,-12.004651,4.508632,7.2706666,12.323922,13.484417,0
28.292906,48.265835,-4.623915,10.02891,-6.881641,17.853224,-3.3436465,13.295334,-10.931133,6.221381,7.1181755,12.238092,13.345336,0
-405.01935,120.540054,42.17281,24.357203,-1.5311261,1.1127105,-10.197308,8.946633,-16.086634,-6.362717,-5.3868303,-8.221703,-5.1433697,0
-379.64536,135.5524,36.959415,11.777807,-7.5448728,2.615458,-9.539262,8.727461,-14.861574,-4.003348,-4.0334506,-9.411888,-4.3459926,0
-410.346,100.81187,11.049348,20.1083,-1.1716412,-2.8941498,3.54634,4.2368617,-3.3007634,-1.2631698,-1.3194618,-2.4123456,-1.9981551,0
-482.0255,9.020902,9.813324,14.467559,2.9744084,19.936775,16.371319,3.095657,1.4309679,7.1595902,1.9638197,8.545073,4.4031997,0
-100.450356,78.995445,9.115156,14.6892805,25.980278,30.754416,2.4616716,9.199876,6.381197,13.691271,-0.31723684,11.174571,-4.4759665,0
-555.0067,38.688457,1.8651416,4.170608,4.5119014,3.4776378,4.167614,1.1762953,2.2365594,2.50935,1.6955816,3.3102686,2.5077834,0
-633.2142,38.58626,-0.5112227,2.3564694,5.8653674,3.7610679,1.4605191,1.3948407,3.9299612,2.2593753,1.5757244,3.0804343,3.8814604,0
-71.41205,24.74692,-59.857162,-26.730394,-20.419188,-16.926552,-19.785658,-9.465377,-15.531421,-11.42324,-11.914923,-5.090403,-11.072604,0
-74.77275,25.665262,-60.223137,-26.708387,-12.420486,-16.91237,-21.44628,-9.808365,-14.808665,-12.921763,-11.804515,-5.108564,-9.910895,0
3.9725225,66.513855,-87.27559,-20.807087,-18.345259,-10.007982,-15.372776,-1.6942745,-14.999872,-7.1570034,-11.77843,-4.106793,-6.7378426,0
-592.9441,9.462008,-4.5854897,-2.4102693,0.5819149,-0.51398695,-0.9522851,0.3318033,-0.119973846,0.99267054,0.6626234,2.2398555,1.6335018,0
111.51855,65.30611,-56.339413,-2.1782248,3.1398418,-13.460557,-12.11427,6.1431017,-2.5611541,5.293513,-3.0293016,0.027574169,-3.2532027,0
-357.966,186.38281,35.73499,4.575515,26.955439,15.252914,-2.183042,-0.87696564,1.3457673,0.085855566,-0.3624472,-2.1150484,-4.097394,0
-450.67355,141.15762,-13.059294,13.131429,-4.103126,2.5481508,-2.216967,2.833082,-2.8506312,3.8752325,-0.4477962,3.609262,-0.19244073,0
-416.69186,128.1719,3.5635715,4.2731004,-0.30166703,2.3846064,-1.1928726,2.226711,-1.6205826,1.8762811,1.0505693,1.659411,-1.4945598,0
-427.40176,148.75256,-8.955398,-2.6386435,9.947247,1.8199818,-1.8277674,3.2153325,-0.5127045,1.1586419,4.461349,3.5544045,-0.7507571,0
-450.18915,167.18146,12.556467,-3.5214324,9.126917,4.0182776,-1.768828,-1.1846871,-1.1269605,0.90392077,1.7223766,1.6140362,0.057746973,0
-272.3848,44.51946,-68.36464,-5.720071,-3.0781558,-4.002356,-2.2551274,8.865976,1.1793413,0.6489417,0.7226006,3.152397,-2.1897528,0
-186.79816,40.673027,-74.87315,-5.5067487,-7.45757,-6.8601255,1.3269002,9.645973,-1.0251681,-1.0548824,-0.1676838,2.6744769,0.08881062,0
-251.68422,60.8683,-78.46167,-3.9042883,-7.3738456,-8.024513,-1.5837901,12.898211,-0.6592726,-0.019251805,0.54408354,1.1248088,-4.2570553,0
-40.016747,62.038177,-24.96852,-7.234889,-25.705227,-10.895914,-13.407559,-1.3400509,-4.326946,-0.5582721,-14.869942,-3.0800822,-10.400839,0
-52.726974,67.975655,14.656684,43.175274,11.80192,17.616669,5.59981,2.5692396,-3.8420572,-6.185114,4.470804,3.8065224,4.02873,0
-503.68362,61.267853,7.7645965,7.879945,8.653937,23.463982,23.260223,20.806612,5.2411027,6.9355283,-0.2805362,5.288384,6.259891,0
-425.6986,5.7897396,-46.019356,13.8781805,-29.686213,-9.545829,-6.0724077,-1.3260088,-3.6495152,-2.3253148,-10.604959,-4.246539,-12.625802,0
-166.53787,126.513176,34.04935,42.28055,6.7253404,33.316826,7.121491,22.324278,2.9038436,1.05972,1.7096623,2.2183425,-4.3346424,0
-472.8758,104.96415,-11.536509,28.251095,0.42963165,13.362682,10.014705,16.524145,16.823795,16.096012,5.3163505,13.882504,2.8029768,0
-321.96103,85.46048,-11.9929,0.21460155,12.028849,22.298046,0.4229884,10.671557,0.079228394,-12.309086,-28.228268,-15.037477,-2.6890514,0
-472.30313,73.075424,17.27358,21.489168,8.868206,12.204477,2.6936815,4.4455986,-3.759139,1.2975469,-5.5659795,-2.5814846,-3.192919,0
-473.4198,80.25127,16.862804,24.364895,10.970563,14.055089,2.0180848,2.7770002,-4.095664,2.3923283,-7.041922,-2.3777835,-2.4388447,0
-180.78568,110.76819,-48.087444,11.564997,-14.817709,-14.555114,-10.296705,4.7722025,13.128068,10.58758,-18.667404,-24.642479,-26.207125,0
-233.18983,111.885475,-27.138178,2.5655713,-16.320415,-17.552727,-17.501156,-8.331403,1.3747469,10.286039,-1.3839103,3.7019563,-3.2453737,0
-87.88847,-7.693087,-33.776142,54.55232,-31.543762,15.882125,-15.820409,-10.09682,-1.0471189,15.977265,-3.4196024,19.258368,4.435821,0
-352.52582,42.20959,-19.880693,26.843601,-6.1219788,17.77572,4.970305,5.9369273,11.645332,9.500582,10.857254,12.104623,5.285633,0
-195.21596,117.39102,46.596706,69.86016,8.608785,31.716305,9.354334,2.9152763,-0.3008177,7.69348,-2.131128,3.9460123,-2.199245,0
-304.0861,14.695414,-54.266247,-18.634407,-24.166471,3.990624,-11.840517,-0.21826313,9.040762,1.6353579,19.679052,1.9374976,0.9476471,0
-342.03235,72.80949,-21.291744,-10.49786,-10.730397,-5.4510574,-15.421182,-11.279409,-11.125874,-5.137026,-10.204556,-6.79671,-13.345333,0
-331.14093,63.266136,-23.52611,-9.54402,-9.821583,-4.541414,-11.663851,-8.7941675,-11.062598,-2.1952348,-9.593032,-4.6274734,-9.5897255,0
-325.00073,71.31083,-32.79228,-8.503538,-8.058596,-4.6824627,-14.04289,-8.502126,-11.589514,-2.0970063,-7.3181844,-4.2012014,-9.336155,0
-303.82773,74.976654,-34.8174,-11.046591,-8.399273,-7.300971,-17.791636,-9.672422,-10.938842,-2.1194072,-9.907789,-6.6876335,-10.971143,0
-278.7851,87.196045,-12.814278,2.2073424,-14.069967,-6.943733,-20.5068,-18.551695,-16.048267,-10.848509,-20.216461,-14.519189,-18.49076,0
-372.28293,69.66543,-15.297403,-8.860641,-8.058912,-4.250879,-10.76182,-5.7594953,-9.225885,-2.067679,-7.174284,-2.859441,-8.858507,0
-381.2327,15.589906,-32.30907,20.015903,15.195337,5.8537807,9.735702,18.039957,6.5325966,-2.0385034,4.1339173,12.986525,-2.2586741,0
-385.74335,29.356771,-23.360432,26.10405,20.498142,9.754087,12.0228405,22.912455,6.4933186,1.0039406,4.520513,10.750065,-2.1827674,0
-326.6286,102.77312,-22.247335,-0.8102378,-0.017558493,5.3290377,-4.331085,-6.4936233,-7.987275,5.5510306,-1.9982821,1.6797211,-2.1772623,0
-378.22058,123.25716,11.408172,8.42642,1.8027095,1.9495076,-9.820276,-6.3895965,-14.38691,0.9942631,-2.5095363,1.9858664,-6.147835,0
-334.1203,36.780064,-6.732006,16.358902,5.0034337,6.0524406,1.2957896,-0.020484487,-0.26975518,4.115957,-0.25372586,0.45018366,-0.3941567,0
-695.8273,14.458232,6.4025574,9.264254,-0.25481883,1.7882274,4.1985693,1.8074652,0.35484913,0.13191715,-1.1448053,0.43939096,-0.7151633,0
-280.2003,26.344954,-22.223969,31.004404,-1.8110044,14.980416,3.1634564,7.399834,7.6439295,2.8972363,3.022598,9.371054,6.5569887,0
-528.03,24.847624,-7.018061,14.132978,0.5225702,9.139608,14.417895,10.184661,1.8542147,0.19324936,-0.5349111,7.637214,3.5320392,0
-520.24744,12.306731,-10.608711,2.0329459,0.19546002,0.35252362,0.20778106,2.0750308,-1.2673339,0.50485986,-0.11939672,0.41353112,-0.77774256,0
-269.5948,58.456432,18.835234,35.811398,22.722408,-2.6670291,19.074001,6.567927,-6.45774,5.7217317,-2.1185591,4.0649033,5.74153,0
-21.096457,41.360695,56.808674,16.68598,17.540869,5.528735,-2.034518,17.725908,-4.996744,7.333008,1.3701942,4.179578,-0.06070607,0
-36.936054,51.270447,60.23129,19.937428,18.875689,3.466088,-4.67347,12.806749,-4.282733,6.5636272,3.8748908,1.9053699,1.9725126,0
-59.827515,70.88877,40.177135,17.42967,23.19436,3.7678137,-9.611376,20.512873,-1.9692391,7.927759,2.7825546,4.945456,-2.4070745,0
-49.45048,66.38017,22.27973,2.94374,34.945637,10.29018,8.36394,11.808981,3.0574048,9.477522,-1.285794,3.1291904,-2.6740334,0
-80.42542,91.93875,21.046928,12.68163,32.43966,9.06176,10.31139,15.432698,2.6387286,6.885884,2.4667964,-3.3758938,-0.39634135,0
-21.56001,97.79305,-0.42917794,-13.910918,14.853177,15.556398,8.688797,16.400429,4.5562015,10.135737,-3.47987,-3.1429887,-3.055568,0
-333.92313,106.60277,27.27649,19.675411,-10.150692,-8.089629,3.249178,10.524755,1.2464786,3.020179,4.9755435,1.5228444,-3.9108996,0
-34.604553,2.4367373,-38.017185,18.286932,9.360275,10.8174715,2.1240153,15.145207,-2.9897492,4.5581822,2.1902342,5.7062454,-5.9256306,0
-209.92676,37.78311,-1.1679972,23.591137,4.9849167,0.90123045,6.490014,9.066784,3.931241,13.103035,7.641981,9.656743,-0.43791753,0
-208.30556,58.95635,-12.357952,-14.409115,-41.870342,-16.680447,-30.749727,-24.449417,-26.249338,-20.603594,-24.610752,-9.823646,-16.110806,0
-337.19904,22.267326,23.958431,15.145165,4.439415,8.828942,-0.585784,1.362414,-3.6350467,2.4338841,-2.2882695,3.0807161,-3.6321657,0
